KEY_CODE,HYOSYO,PARENT,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,POP,MALE,FEMALE,HOUSEHOLD,ken,BaseArea,DiffArea
"142011050","2","14201",横須賀市,子安,"0",,,"66","29","37","22","14",736735.268,731463.312
"142040030","2","14204",鎌倉市,二階堂,"0",,,"2719","1242","1477","1156","14",1689654.561,347944.515
"143610060","2","14361",足柄上郡中井町,古怒田,"0",,,"118","56","62","38","14",937365.049,918846.524
"142110590","2","14211",秦野市,堀西,"0",,,"6764","3428","3336","2535","14",1839474.954,318411.273
"14205305002","3","142053050",藤沢市,江の島２丁目,"0",,,"111","56","55","48","14",185758.508,109213.440
"14205305001","3","142053050",藤沢市,江の島１丁目,"0",,,"257","124","133","109","14",233148.190,31965.138
"142110410","2","14211",秦野市,小蓑毛,"0",,,"178","90","88","51","14",1513968.813,662308.222
"141510450","2","14151",相模原市緑区,澤井,"0",,,"574","278","296","207","14",5764943.649,4199700.796
"143820160","2","14382",足柄下郡箱根町,元箱根,"0",,,"688","358","330","450","14",21280172.401,7539877.286
"142060940","2","14206",小田原市,曽我別所,"0",,,"798","403","395","279","14",2002359.649,1807000.066
"142170020","2","14217",南足柄市,内山,"0",,,"764","366","398","260","14",6488008.015,3670474.183
"141510400","2","14151",相模原市緑区,千木良,"0",,,"1910","982","928","694","14",7095574.765,4816336.115
"143640050","2","14364",足柄上郡山北町,皆瀬川,"0",,,"163","81","82","62","14",14398151.996,13215897.897
"14217014016","3","142170140",南足柄市,怒田,"0",,,"1677","850","827","594","14",1518016.899,36247.399
"14217014015","3","142170140",南足柄市,怒田,"0",,,"324","158","166","100","14",2493257.046,294312.865
"14342006003","3","143420060",中郡二宮町,山西,"0",,,"432","211","221","183","14",165682.547,36670.359
"14342006006","3","143420060",中郡二宮町,山西,"0",,,"1809","884","925","660","14",752061.265,13.166
"143620050","2","14362",足柄上郡大井町,高尾,"0",,,"70","36","34","20","14",649667.422,649667.422
"142010300","2","14201",横須賀市,夏島町,"0",,,"1375","718","657","483","14",2930978.706,662119.408
"142170090","2","14217",南足柄市,広町,"0",,,"1313","662","651","500","14",5874218.431,4292295.106
"143640150","2","14364",足柄上郡山北町,玄倉,"0",,,"118","60","58","39","14",46631471.971,46631471.971
"142061210","2","14206",小田原市,根府川,"0",,,"621","308","313","243","14",13703996.752,13304117.505
"141377280","2","14137",川崎市麻生区,黒川,"0",,,"3223","1620","1603","1392","14",2015381.169,1936738.700
"142071070","2","14207",茅ヶ崎市,芹沢,"0",,,"2535","1237","1298","798","14",2851080.562,19773.512
"14206060002","3","142060600",小田原市,久野,"0",,,"3534","1717","1817","1208","14",23926033.305,14723956.776
"143640020","2","14364",足柄上郡山北町,向原,"0",,,"2555","1272","1283","958","14",8769529.419,4501453.696
"142110420","2","14211",秦野市,蓑毛,"0",,,"485","239","246","179","14",17080655.483,16430966.919
"141021200","2","14102",横浜市神奈川区,公有水面,"2","0650",,"1","1","0","1","14",3712534.270,147827.146
"14137706000","3","141377060",川崎市麻生区,細山,"2","706007",,"145","81","64","4","14",225769.692,1676.431
